,LSOA,Anti Semitic,Disability,Homophobic,Islamophobic,Racist,Transgender,Faith,Total All Incidents
1243,E01001271,False,False,False,False,False,False,False,False
1244,E01001272,False,False,False,False,False,False,False,False
1245,E01001273,False,False,False,False,False,False,False,False
1246,E01001274,False,False,False,False,False,False,False,False
1247,E01001275,True,False,False,False,False,False,False,False
1248,E01001276,False,False,False,False,False,False,True,False
1249,E01001277,False,False,False,False,False,False,True,False
1250,E01001278,False,False,False,False,False,False,False,False
1251,E01001279,False,False,False,False,False,False,False,False
1252,E01001280,False,False,False,False,False,False,False,False
1253,E01001281,False,False,False,False,False,False,False,False
1254,E01001282,False,False,False,False,False,False,False,False
1255,E01001283,False,False,False,False,False,False,False,False
1256,E01001284,False,False,False,False,False,False,False,False
1257,E01001285,False,False,False,False,False,False,False,False
1258,E01001286,False,False,False,False,False,False,False,False
1259,E01001287,False,False,False,False,False,False,False,False
1260,E01001288,True,False,False,False,False,True,False,False
1261,E01001289,False,False,False,False,False,False,False,False
1262,E01001290,False,False,False,False,False,False,False,False
1263,E01001291,False,False,False,False,False,False,False,False
1264,E01001292,False,False,False,False,False,False,False,False
1265,E01001293,False,False,False,False,False,False,False,False
1266,E01001294,False,False,False,False,False,False,False,False
1267,E01001295,False,False,False,False,False,False,True,False
1268,E01001296,False,False,False,False,False,False,False,False
1269,E01001297,False,False,False,False,False,False,False,False
1270,E01001298,False,False,False,False,False,False,False,False
1271,E01001299,True,False,False,False,False,False,False,False
1272,E01001300,False,False,False,False,False,False,False,False
1273,E01001301,False,False,False,False,False,True,False,False
1274,E01001302,False,False,False,False,False,False,False,False
1275,E01001303,False,False,False,False,False,False,False,False
1276,E01001304,False,False,False,False,False,False,False,False
1277,E01001305,False,False,False,False,False,False,False,False
1278,E01001306,False,False,False,False,False,False,False,False
1279,E01001307,True,False,False,False,False,False,False,False
1280,E01001308,True,False,False,False,False,False,False,False
1281,E01001309,False,False,False,False,False,False,False,False
1282,E01001310,False,False,False,False,False,False,False,False
1283,E01001311,False,False,False,False,False,False,False,False
1284,E01001312,False,False,False,False,False,False,False,False
1285,E01001313,False,False,False,False,False,False,False,False
1286,E01001314,False,False,False,False,False,False,False,False
1287,E01001315,False,False,False,False,False,True,False,False
1288,E01001316,False,False,False,False,False,False,False,False
1289,E01001317,False,False,False,False,False,True,False,False
1290,E01001318,False,False,False,False,False,False,False,False
1291,E01001319,False,False,False,False,False,False,False,False
1292,E01001320,False,False,False,False,False,False,False,False
1293,E01001321,False,False,False,False,False,True,False,False
1294,E01001322,False,False,False,False,False,False,False,False
1295,E01001323,True,False,False,False,False,False,False,False
1296,E01001324,False,False,False,False,False,False,True,False
1297,E01001325,False,False,False,False,False,False,False,False
1298,E01001326,False,False,False,False,False,True,False,False
1299,E01001327,False,False,False,False,False,False,False,False
1300,E01001328,False,False,False,False,False,False,False,False
1301,E01001329,False,False,False,False,False,False,False,False
1302,E01001330,False,False,False,False,False,True,False,False
1303,E01001331,False,False,False,False,False,False,False,False
1304,E01001332,False,False,False,False,False,False,False,False
1305,E01001333,False,False,False,False,False,False,True,False
1306,E01001334,False,False,False,False,False,False,False,False
1307,E01001335,False,False,False,False,False,False,False,False
1308,E01001336,False,False,False,False,False,False,False,False
1309,E01001337,False,False,False,False,False,False,False,False
1310,E01001338,False,False,False,False,False,False,False,False
1311,E01001339,False,False,False,False,False,False,False,False
1312,E01001340,True,False,False,False,False,True,False,False
1313,E01001341,False,False,False,False,False,False,False,False
1314,E01001342,False,False,False,False,False,False,False,False
1315,E01001343,False,False,False,False,False,False,False,False
1316,E01001344,False,False,False,False,False,False,False,False
1317,E01001345,False,False,False,False,False,False,True,False
1318,E01001346,True,False,False,False,False,False,False,False
1319,E01001347,False,False,False,False,False,False,False,False
1320,E01001348,False,False,False,False,False,False,False,False
1321,E01001349,False,False,False,False,False,False,False,False
1322,E01001350,True,False,False,False,False,False,False,False
1323,E01001351,True,False,False,True,False,True,False,False
1324,E01001352,True,False,False,False,False,False,False,False
1325,E01001353,False,False,False,False,False,True,False,False
1326,E01001354,False,False,False,False,False,True,True,False
1327,E01001355,True,False,False,False,False,True,False,False
1328,E01001356,False,False,False,True,False,False,False,False
1329,E01001357,False,False,False,False,False,True,False,False
1330,E01001358,False,False,False,False,False,False,False,False
1331,E01001359,True,False,False,False,False,False,False,False
1332,E01001360,True,False,False,False,False,False,False,False
1333,E01001361,True,False,False,False,True,True,False,False
1334,E01001362,False,False,False,False,False,False,True,False
1335,E01001363,False,False,False,False,False,False,False,False
1336,E01001364,False,False,False,True,False,False,False,False
1337,E01001365,False,False,False,False,False,False,False,False
1338,E01001366,False,False,False,False,False,False,True,False
1339,E01001367,False,False,False,False,False,False,True,False
1340,E01001368,False,False,False,False,False,False,False,False
1341,E01001369,False,False,False,False,False,False,True,False
1342,E01001370,False,False,False,False,False,False,False,False
1343,E01001371,False,False,False,False,False,False,True,False
1344,E01001372,False,False,False,False,False,False,False,False
1345,E01001373,False,False,False,False,False,False,False,False
1346,E01001374,False,False,False,False,False,False,False,False
1347,E01001375,False,False,False,False,False,False,False,False
1348,E01001376,False,False,False,False,False,False,False,False
1349,E01001377,False,False,False,False,False,False,False,False
1350,E01001379,False,False,False,False,False,False,False,False
1351,E01001380,False,False,False,False,False,False,False,False
1352,E01001381,True,False,False,False,False,False,False,False
1353,E01001382,False,False,False,False,False,False,False,False
1354,E01001383,False,False,False,False,False,True,False,False
1355,E01001384,False,False,False,False,False,False,False,False
1356,E01001385,False,False,False,False,False,False,False,False
1357,E01001386,False,False,False,False,False,False,False,False
1358,E01001387,False,False,False,False,False,False,False,False
1359,E01001388,False,False,False,False,False,True,True,False
1360,E01001389,False,False,False,False,False,True,False,False
1361,E01001390,True,False,False,False,False,False,False,False
1362,E01001391,False,False,False,False,False,False,False,False
1363,E01001392,False,False,False,False,False,False,False,False
1364,E01001393,True,False,False,False,False,False,False,False
1365,E01001394,True,False,False,False,False,True,False,False
1366,E01001395,False,False,False,False,False,False,False,False
1367,E01001396,True,False,False,False,False,False,False,False
1368,E01001397,False,False,False,False,False,False,False,False
1369,E01001398,False,False,False,False,False,False,False,False
1370,E01001399,False,False,False,False,False,False,False,False
1371,E01001400,False,False,False,False,False,False,False,False
1372,E01001401,False,False,False,False,False,False,False,False
